序号,昵称,发布日期,total,景色分,趣味分,性价比分,地区编号,comment
2,k空kk,2022-04-23 00:34:56,5.0,5.0,5.0,5.0,145,大，实在是大，草原很辽阔，值得一去建议直接住木兰草原酒店，随时进出，说不定还会看到烟花，视觉效果很棒，草原心旷神怡，很放松
3,300****185,2022-05-15 23:49:56,5.0,5.0,5.0,5.0,145,很好玩，有事是晚上的篝火晚会和烟花表演，很值得再去一次
4,凉凉小四月,2022-02-16 21:48:34,4.0,4.0,4.0,4.0,145,木兰草原位于武汉黄陂区王家河聂家岗，距武汉市区不到40公里，是华中地区唯一的5A级草原景区。传说这里是木兰少年时练习骑射的地方，很久以前来过，正好武汉文化旅游网有免费的票，于是周末和家人一起玩一玩，来的人真不少，都带着帐篷，躺在草地上，享受阳光，娱乐的设施也很多，有射箭骑马滑草，还有坐小火车，晚上还有烟火，很适合周末休闲放松。
5,筱朵尔,2022-05-11 15:59:13,5.0,5.0,5.0,5.0,145,很适合一群人出去玩儿，适合拍照，适合带小朋友出去玩儿，这次没有露营有点可惜
6,M33****2365,2022-05-03 10:07:29,5.0,3.0,4.0,4.0,145,是放松心情的好地方
7,基督山伯爵,2022-05-18 22:55:02,2.0,5.0,5.0,5.0,145,地理位置不好，🅿️车不可以停在附近的地库，非常不方便！
8,二胖7668,2021-12-02 06:33:27,5.0,5.0,5.0,5.0,145,没去过的朋友，这里非常值得去。老中青三代都适合玩儿。&#x0A;【景色】&#x0A;【趣味】
9,300****220,2022-02-05 18:57:40,4.0,4.0,4.0,4.0,145,园区比较大，慢慢走，慢慢玩大概4小时。&#x0A;只玩了竹排和滑草，&#x0A;园区有娱乐的套票可以选择，要是玩的多可以考虑买套票。&#x0A;园区小火车比较可爱，是绕着园区一圈。&#x0A;冬天比较冷，没有花，草也是枯黄的，还是春天后景色比较好。
10,_WeCh****958766,2022-05-14 10:06:11,5.0,5.0,5.0,5.0,145,值得的，风景不错！我已经去了几次了！适合亲子游，露营
11,丫丫@东东大宝贝,2021-12-01 11:20:21,5.0,5.0,5.0,5.0,145,景区很美，人点多，下次带帐篷过来，烧烤边不错
12,118****716,2022-03-08 20:42:20,2.0,5.0,5.0,5.0,145,不值得一去，空气差，项目少，不推荐
